code;name;net;status;order;clazz;active
N230104362000001;"""Инновации комфорта"", ИП Крамаренко В.В., г.Славянск-на-Кубани,ул.Батарейная,д.305";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N2301232001;Все для дома в Петровской;Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Заблокирована
N230103703000001;"Торговый павильон ""Садовод"" ИП Строева Ю.Ю., г.Славянск-на-Кубани, ул.Красная, д.145/11";Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230104094000001;"""Стройторг"" ООО ""Стройторг"", г.Славянск-на-Кубани, ул.Ленина, д.33";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104297000001;Кровельные материалы, ИП Антощук В.И., Краснодарский край, х.Трудобеликовский,ул.Ленина, д.67,владение 1;Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102768000002;"""Муравей"" ИП Базик М.В. Крымск";Независимые торговцы;Документы получены;3 порядок;3 порядок;Заблокирована
N230104667000003;" ""Мобильник"", ИП Залян Х.Г., х. Трудобеликовский, ул. Ленина, д. 5";ЭКСПЕРТ-РИТЕИЛ Брокер;Зарегистрирована в системе;3 порядок;Брокер;Активна
N230103775000001;"Магазин ""Музыкант"" ИП Шевченко А.В., г.Славянск-на-Кубани, ул.Красная, д.64";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230101954000001;"Магазин ""Вираж"", ИП Пиценко С.Е., г. Славянск-на-Кубани, ул. Ковтюха, д. 95-а";Независимые торговцы;Документы получены;3 порядок;3 порядок;Активна
N230104757000001;"""Евроспорт"", ИП Баренкова Л.И., г. Славянск-на-Кубани, ул. Ковтюха, д. 74/2";Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230103703000003;"""Мотобензотехника"" ИП Строева Ю.Ю., г. Славянск-на-Кубани, ул. Красная, д.145";Независимые торговцы;Зарегистрирована в системе;3 порядок;3 порядок;Активна
N230101912000011;Чемпион, ИП Доронина М.Н., г. Славянск-на-Кубани, ул. Школьная, д. 328;Независимые торговцы;Зарегистрирована в системе;3 порядок;4 порядок;Активна
N230101829000001;"Магазин ""Мебель"", ООО ""Универмаг"", ст. Полтавская, ул. Красная, д. 133";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
N230102600000001;"""Мото-бензо"", ИП Пономаренко И.В., х. Трудобеликовский, ул. Ленина, д. 9";Независимые торговцы;Документы получены;3 порядок;4 порядок;Активна
