regcenterName;lendingOfficeName;lendingOfficeCode;type;organizationName;shopName;commercialNetName;shopCode;shopAddress;locationMessage;workingHours;latitude;longitude;order
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;"ООО ""Имола""";"ООО ""Имола""(г.Владикавказ)";;150100122000001;362035, Северная Осетия - Алания Респ, Владикавказ г, Московская ул, д. 3;"ТТ ""СОМ"" находится напротив Советского суда ,рядом с Городским молочным заводом, двухэтажное здание.";"Пн-Пт: 09:00-20:00 ; Сб: 09:00-20:00 ; Вс: 09:00-20:00";43.0579182;44.6536186;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Кцаян Воски Витальевна;Оранж, ИП Кцаян В.В., Владикавказ г, Куйбышева ул, д. 48;;150100813000001;362025, Северная Осетия - Алания Респ, Владикавказ г, Куйбышева ул, д. 48;напротив ТЦ <Глобус, цокольный этаже пятиэтажного здания;"Пн-Пт: 10:00-19:30 ; Сб: 10:00-19:30 ; Вс: 10:00-19:30";43.0319719;44.6975605;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисиков Олег Русланович;"""Ringoo"" СБЕР, ИП Мисиков О.Р., Владикавказ г, Владикавказская ул, д. 35";;150100855000005;362045, Северная Осетия - Алания Респ, Владикавказ г, Владикавказская ул, д. 35;"район рынка ""Алан"", около кафе ""Сирия"". Маршрут№ 77,45,59,10.";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0480769;44.6317617;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Левченко Виктория Сергеевна;Мобитек куйбышева, ИП Левченко В.С., г.Владикавказ, ул. Куйбышева, д.11;;150100442000003;362040, Северная Осетия - Алания Респ, Владикавказ г, Куйбышева ул, д. 11;ТТ находится рядом со школой №3 на 1 этаже в торговом ряду;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0319719;44.6975605;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Сикоева Марина Валерьевна;МЕГАФОН, ИП Сикоева М.В., г. Алагир, ул. К. Бутаева, д. 2;;150100569000001;363240, Северная Осетия - Алания Респ, Алагирский р-н, Алагир г, К.Бутаева ул, д. 2;"ТТ располагается на перекрестке ул. Бутаева и ул. К. Хетагурова на 1 этаже пятиэтажного здания;";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0413068;44.2240874;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Нестеренко Андрей Александрович;ПОИСК, ИП Нестеренко А.А., г. Владикавказ, пр-кт Коста, д. 15;;770103065000061;362015, Северная Осетия - Алания Респ, Владикавказ г, Коста пр-кт, д. 15;"ТТ находится рядом с магазином ""Арктика"", отдельно стоящее одноэтажное здание.";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0054209;44.6737763;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;"ООО ""Жираф""";"Жираф (г. Владикавказ ООО ""Жираф"")";;150100082000001;362021, Северная Осетия - Алания Респ, Владикавказ г, Тельмана ул, д. 3;"ТТ находится рядом с клиникой ""Ясный взгляд"", в районе Финансовой академии отдельно стоящее двухэтажное здание.";"Пн-Пт: 09:00-19:00 ; Сб: 09:00-19:00 ; Вс: 09:00-19:00";43.0483799;44.6711689;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Гобаева Милана Артуровна;ВАЛЕНСИЯ, ИП Гобаева М.А., Дигора г, Бердиева ул, д. 11;;150100853000001;363410, Северная Осетия - Алания Респ, Дигорский р-н, Дигора г, Бердиева ул, д. 11;14;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.1567628;44.1549483;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисиков Олег Русланович;ULTRA Беслан, ИП Мисиков О.Р., Беслан г, Сигова ул, д. 52;;150100844000008;363029, Северная Осетия - Алания Респ, Правобережный р-н, Беслан г, Сигова ул, д. 52;"угол ленина и сигова, маршрутка ""БМК"", ""Пенько завод"".";"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.1914089;44.5420976;1,2 порядок
ЮЖНЫЙ;ВЛАДИКАВКАЗ;2-2087U04;POS;ИП Мисиков Олег Русланович;"""Ringoo"" СБЕР, ИП Мисиков О.Р., Владикавказ г, Ватутина ул, д. 33";;150100855000003;362025, Северная Осетия - Алания Респ, Владикавказ г, Ватутина ул, д. 33;район дружбы, около Университета СОГУ. Маршрут № 77, 50, 35, 24, 8.;"Пн-Пт: 10:00-19:00 ; Сб: 10:00-19:00 ; Вс: 10:00-19:00";43.0287899;44.6901779;1,2 порядок
