sapCode;shopName;shopAddress;workingHours
GD31;Члб Златоуст6;456207, Челябинская обл, Златоуст г, им Карла Маркса ул, Остановочный комплекс между д. №11 и д. №13;Пн-Вс (09:00-19:00)
LR14;Ирк Черемхово Шевченко;665401, Иркутская обл, Черемхово г, Шевченко ул, дом № 70;Пн-Вс (09:00-21:00)
YP91;СПб Лодейное Поле;187700, Ленинградская обл, Лодейнопольский р-н, Лодейное Поле г, Ленина пр-кт, дом № 47А;Пн-Вс (09:00-21:00)
YD43;Шебекино;309290, Белгородская обл, Шебекино г, Ленина ул, дом № 13;Пн-Вс (09:00-20:00)
LQ51;Ирк Ангарск 8 микрорайон;665833, Иркутская обл, Ангарск г, 8-й мкр, дом № 24/1;Пн-Вс (09:00-20:00)
YA36;Валуйки;309991, Белгородская обл, Валуйский р-н, Валуйки г, Клубная ул, дом № 2;Пн-Вс (08:00-18:00)
GD65;Члб Марченко;454085, Челябинская обл, Челябинск г, Марченко ул, дом № 13 капитальное строение;Пн-Вс (10:00-20:00)
LP03;Якутия Амга Ленина;678600, Саха /Якутия/ Респ, Амгинский у, Амга с, Ленина ул, дом № 7;Пн-Вс (09:00-19:00)
GN92;Крнд Сочи Навагинская;354000, Краснодарский край, Сочи г, Навагинская ул, дом № 9;Пн-Вс (09:00-21:00)
LC57;РТ Ульяновск Промышленная2;432013, Ульяновская обл, Ульяновск г, Промышленная ул, дом № 54, №21а №21а;Пн-Вс (08:00-20:00)
L348;Мытищи13;141021, Московская обл, Мытищинский р-н, Мытищи г, Ветеранов б-р, строение № 2;Пн-Вс (09:00-21:00)
LA90;РТ Йошкар-Ола Перекресток;424000, Марий Эл Респ, Йошкар-Ола г, Карла Маркса ул, северо-западнее д.№101 северо-западнее дома №101;Пн-Вс (10:00-21:00)
LC93;РТ Чебоксары Автовокзал2;428020, Чувашская Респ, Чебоксары г, Привокзальная ул, дом № 1Г;Пн-Вс (08:00-19:00)
LS49;Нсиб Пашино Мария Ра;630900, Новосибирская обл, Новосибирск г, Новоуральская ул, дом № 17 Пашино;Пн-Вс (10:00-20:00)
LE24;СРТ Балаково ТЦ Грин Хаус;413863, Саратовская обл, Балаково г, Трнавская ул, дом № 24;Пн-Вс (10:00-21:00)
LC90;РТ Учалы Ленина;453700, Башкортостан Респ, Учалинский р-н, Учалы г, Ленина ул, дом № 31А;Пн-Вс (10:00-19:45)
LB13;РТ Кувандык;462243, Оренбургская обл, Кувандык г, Ленина ул, дом № 21/2;Пн-Вс (09:00-20:00)
GL27;Астр Красный Яр;416150, Астраханская обл, Красноярский р-н, Красный Яр с, Советская ул, дом № 70;Пн-Вс (08:00-20:00)
GN33;Крнд Кабардинка;353480, Краснодарский край, Геленджик г, Кабардинка с, Революционная ул, дом № 65;Пн-Вс (08:00-20:00)
GM19;Крнд Хадыженск2;352680, Краснодарский край, Апшеронский р-н, Хадыженск г, Ленина ул, дом № 26;Пн-Вс (08:00-20:00)
LQ30;Бур Улан-Удэ ТЦ Капитал;670045, Бурятия Респ, Улан-Удэ г, Автомобилистов пр-кт, дом № 4а ТЦ Капитал;Пн-Вс (10:00-21:00)
NE32;Ирк Куйтун Карла Маркса ЕС;665302, Куйтун п, Карла Маркса ул 2;Пн-Вс (09:00-19:00)
GE25;ЯНАО Новый Уренгой2;629307, Ямало-Ненецкий АО, Новый Уренгой г, Губкина пр-кт, дом № 5 ТЦ Вертолет 1 этаж;Пн-Вс (09:30-21:00)
